timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1757976305452,581,HTTP Request,200,OK,Saucedemo_QA 1-20,text,true,,3981,234,34,34,https://www.saucedemo.com/,128,0,50
1757976305452,128,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-20,text,true,,658,115,34,34,http://saucedemo.com/,128,0,50
1757976305580,453,HTTP Request-1,200,OK,Saucedemo_QA 1-20,text,true,,3323,119,34,34,https://www.saucedemo.com/,453,0,195
1757976304791,1250,HTTP Request,200,OK,Saucedemo_QA 1-3,text,true,,3983,234,34,34,https://www.saucedemo.com/,255,0,48
1757976304791,255,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-3,text,true,,660,115,34,34,http://saucedemo.com/,255,0,48
1757976305047,994,HTTP Request-1,200,OK,Saucedemo_QA 1-3,text,true,,3323,119,34,34,https://www.saucedemo.com/,994,0,700
1757976305576,464,HTTP Request,200,OK,Saucedemo_QA 1-23,text,true,,3980,234,34,34,https://www.saucedemo.com/,187,0,72
1757976305496,544,HTTP Request,200,OK,Saucedemo_QA 1-21,text,true,,3981,234,34,34,https://www.saucedemo.com/,98,0,49
1757976305576,187,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-23,text,true,,658,115,34,34,http://saucedemo.com/,187,0,72
1757976305763,277,HTTP Request-1,200,OK,Saucedemo_QA 1-23,text,true,,3322,119,34,34,https://www.saucedemo.com/,274,0,165
1757976305496,98,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-21,text,true,,658,115,34,34,http://saucedemo.com/,98,0,49
1757976305594,446,HTTP Request-1,200,OK,Saucedemo_QA 1-21,text,true,,3323,119,34,34,https://www.saucedemo.com/,446,0,236
1757976304747,1293,HTTP Request,200,OK,Saucedemo_QA 1-2,text,true,,3983,234,34,34,https://www.saucedemo.com/,303,0,49
1757976305533,507,HTTP Request,200,OK,Saucedemo_QA 1-22,text,true,,3981,234,34,34,https://www.saucedemo.com/,115,0,49
1757976304747,303,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-2,text,true,,660,115,34,34,http://saucedemo.com/,303,0,49
1757976305050,990,HTTP Request-1,200,OK,Saucedemo_QA 1-2,text,true,,3323,119,34,34,https://www.saucedemo.com/,990,0,729
1757976305533,115,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-22,text,true,,658,115,34,34,http://saucedemo.com/,115,0,49
1757976305649,391,HTTP Request-1,200,OK,Saucedemo_QA 1-22,text,true,,3323,119,34,34,https://www.saucedemo.com/,391,0,224
1757976305217,823,HTTP Request,200,OK,Saucedemo_QA 1-14,text,true,,3981,234,34,34,https://www.saucedemo.com/,100,0,50
1757976305217,100,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-14,text,true,,658,115,34,34,http://saucedemo.com/,100,0,50
1757976305318,722,HTTP Request-1,200,OK,Saucedemo_QA 1-14,text,true,,3323,119,34,34,https://www.saucedemo.com/,722,0,425
1757976304991,1047,HTTP Request,200,OK,Saucedemo_QA 1-8,text,true,,3981,234,34,34,https://www.saucedemo.com/,99,0,50
